ID,Age,Gender,Country,Coffee_Intake,Caffeine_mg,Sleep_Hours,Sleep_Quality,Sleep_Quality_num,BMI,Stress_Level,Physical_Activity_Hours,Stress_Level_num,Occupation,Smoking,Alcohol_Consumption,Age_Group,Categoria_BMI
1,40,Male,Germany,3.5,328.1,7.5,Good,3,24.9,Low,14.5,1,Other,0,0,Adulto,Peso saludable
2,33,Male,Germany,1.0,94.1,6.2,Good,3,20.0,Low,11.0,1,Service,0,0,Joven,Peso saludable
3,42,Male,Brazil,5.3,503.7,5.9,Fair,2,22.7,Medium,11.2,2,Office,0,0,Adulto,Peso saludable
4,53,Male,Germany,2.6,249.2,7.3,Good,3,24.7,Low,6.6,1,Other,0,0,Adulto,Peso saludable
5,32,Female,Spain,3.1,298.0,5.3,Fair,2,24.1,Medium,8.5,2,Student,0,1,Joven,Peso saludable
6,32,Male,Mexico,3.4,326.4,6.4,Good,3,27.0,Low,8.8,1,Service,0,0,Joven,Sobrepeso
7,53,Male,France,2.7,252.1,7.8,Good,3,24.3,Low,1.0,1,Student,1,0,Adulto,Peso saludable
8,44,Female,Canada,4.5,423.5,5.5,Fair,2,15.8,Medium,0.7,2,Service,1,1,Adulto,Bajo peso
9,29,Male,UK,1.7,162.0,7.1,Good,3,21.7,Low,2.2,1,Service,1,1,Joven,Peso saludable
10,41,Female,Switzerland,4.0,383.2,6.4,Good,3,30.4,Low,11.9,1,Office,0,0,Adulto,Obesidad
11,29,Female,Switzerland,4.5,427.5,8.1,Excellent,4,21.5,Low,8.4,1,Other,0,1,Joven,Peso saludable
12,29,Male,Netherlands,4.1,385.2,6.5,Good,3,23.1,Low,8.9,1,Office,0,1,Joven,Peso saludable
13,37,Female,Italy,4.7,441.9,6.9,Good,3,15.4,Low,5.2,1,Service,0,1,Adulto,Bajo peso
14,18,Female,Italy,1.4,133.4,6.6,Good,3,19.8,Low,13.0,1,Office,0,0,Joven,Peso saludable
15,18,Male,Mexico,3.2,308.3,5.9,Fair,2,21.1,Medium,14.5,2,Service,1,0,Joven,Peso saludable
16,28,Male,Spain,3.1,297.0,6.8,Good,3,31.7,Low,3.2,1,Office,0,0,Joven,Obesidad
17,22,Female,China,2.6,248.2,5.9,Fair,2,24.0,Medium,4.7,2,Service,1,0,Joven,Peso saludable
18,38,Female,Japan,3.4,326.8,7.7,Good,3,23.3,Low,4.9,1,Healthcare,1,1,Adulto,Peso saludable
19,24,Female,UK,4.3,409.5,7.8,Good,3,22.7,Low,14.4,1,Healthcare,0,1,Joven,Peso saludable
20,18,Male,Germany,1.4,134.6,6.9,Good,3,18.8,Low,7.8,1,Student,0,0,Joven,Peso saludable
21,52,Female,Italy,0.7,65.5,6.4,Good,3,28.2,Low,8.5,1,Service,0,0,Adulto,Sobrepeso
22,32,Male,France,2.2,208.3,6.9,Good,3,17.0,Low,5.5,1,Office,0,0,Joven,Bajo peso
23,35,Female,Belgium,0.0,0.0,5.5,Fair,2,23.4,Medium,13.5,2,Service,0,0,Joven,Peso saludable
24,18,Female,UK,2.4,227.6,5.7,Fair,2,15.4,Medium,2.9,2,Office,0,0,Joven,Bajo peso
25,28,Female,Finland,4.6,441.2,5.0,Poor,1,21.6,High,6.9,3,Student,0,0,Joven,Peso saludable
26,36,Female,Mexico,0.4,34.7,6.1,Good,3,15.0,Low,3.4,1,Service,1,0,Adulto,Bajo peso
27,21,Female,Belgium,1.9,178.0,6.0,Fair,2,20.8,Medium,8.8,2,Student,0,0,Joven,Peso saludable
28,39,Female,Australia,0.8,75.5,5.3,Fair,2,27.6,Medium,8.2,2,Office,0,0,Adulto,Sobrepeso
29,27,Male,Canada,3.1,294.0,6.2,Good,3,18.1,Low,2.0,1,Other,0,1,Joven,Bajo peso
30,31,Female,Australia,3.5,328.2,6.2,Good,3,21.6,Low,12.5,1,Office,0,1,Joven,Peso saludable
